,TRUE,pred,AbsDiff
0,172,245.874,73.874
1,502,423.214,78.786
2,391,407.826,16.826
3,211,247.951,36.951
4,223,205.558,17.442
5,430,481.76,51.76
6,1175,1266.545,91.545
7,265,208.41,56.59
8,1232,1308.801,76.801
9,294,198.174,95.826
10,181,200.357,19.357
11,379,335.577,43.423
12,1068,1043.62,24.38
13,1022,794.233,227.767
14,452,398.669,53.331
15,256,347.148,91.148
16,66,104.422,38.422
17,141,144.916,3.916
18,1195,1359.093,164.093
19,289,321.55,32.55
20,1603,1655.919,52.919
21,241,266.065,25.065
22,251,281.349,30.349
23,321,165.52,155.48
24,133,134.8,1.8
25,1210,1402.477,192.477
26,1153,812.72,340.28
27,115,101.549,13.451
28,226,171.767,54.233
29,269,287.07,18.07
30,441,388.568,52.432
31,986,673.296,312.704
32,419,333.231,85.769
33,298,262.06,35.94
34,584,562.807,21.193
35,921,961.993,40.993
36,603,481.834,121.166
37,375,375.705,0.705
38,136,111.474,24.526
39,165,153.206,11.794
40,72,49.209,22.791
41,102,81.15,20.85
42,489,453.194,35.806
43,292,226.413,65.587
44,355,356.482,1.482
45,762,607.256,154.744
46,93,96.415,3.415
47,475,451.333,23.667
48,213,189.472,23.528
49,356,295.55,60.45
50,262,306.726,44.726
51,261,228.803,32.197
52,479,496.752,17.752
53,587,470.566,116.434
54,208,169.419,38.581
55,230,205.22,24.78
56,341,316.495,24.505
57,1303,1356.911,53.911
58,254,223.095,30.905
59,277,272.964,4.036
60,396,341.379,54.621
61,496,435.969,60.031
62,165,180.811,15.811
63,199,159.141,39.859
64,392,552.959,160.959
65,308,386.659,78.659
66,199,194.572,4.428
67,417,455.196,38.196
68,121,120.884,0.116
69,266,172.75,93.25
70,219,249.851,30.851
71,162,184.356,22.356
72,302,319.725,17.725
73,1581,1264.896,316.104
74,126,158.983,32.983
75,112,99.986,12.014
76,240,290.764,50.764
77,218,234.693,16.693
78,1156,1152.866,3.134
79,671,745.964,74.964
80,238,246.551,8.551
81,1175,1096.968,78.032
82,481,664.88,183.88
83,129,156.188,27.188
84,442,629.455,187.455
85,213,247.708,34.708
86,363,340.866,22.134
87,548,484.114,63.886
88,400,312.49,87.51
89,227,149.184,77.816
90,398,320.897,77.103
91,216,213.558,2.442
92,199,189.846,9.154
93,230,180.495,49.505
94,1110,1296.945,186.945
95,460,448.415,11.585
96,716,630.715,85.285
97,212,260.999,48.999
98,429,414.206,14.794
99,553,544.118,8.882
100,243,163.023,79.977
101,498,333.384,164.616
102,760,786.029,26.029
103,423,437.82,14.82
104,309,279.978,29.022
105,300,459.071,159.071
106,307,321.626,14.626
107,250,267.189,17.189
108,959,991.739,32.739
109,474,391.643,82.357
110,89,80.736,8.264
111,566,580.427,14.427
112,1265,1048.59,216.41
113,195,197.006,2.006
114,717,686.141,30.859
115,196,169.437,26.563
116,170,156.636,13.364
117,236,285.274,49.274
118,249,188.934,60.066
119,801,849.003,48.003
120,118,138.082,20.082
121,365,376.539,11.539
122,138,134.746,3.254
123,381,357.81,23.19
124,316,347.717,31.717
125,384,399.179,15.179
126,514,461.467,52.533
127,818,671.501,146.499
128,1006,926.899,79.101
129,297,299.528,2.528
130,134,116.85,17.15
131,176,191.721,15.721
132,529,667.679,138.679
133,149,143.17,5.83
134,349,262.738,86.262
135,356,359.553,3.553
136,198,200.302,2.302
137,468,450.448,17.552
138,361,355.02,5.98
139,292,435.519,143.519
140,193,161.322,31.678
141,337,285.11,51.89
142,1119,934.138,184.862
143,288,349.464,61.464
144,215,252.676,37.676
145,823,834.457,11.457
146,192,209.529,17.529
147,212,196.272,15.728
148,166,150.653,15.347
149,568,551.86,16.14
150,412,413.201,1.201
151,602,623.68,21.68
152,589,808.672,219.672
153,153,147.225,5.775
154,857,858.557,1.557
155,665,634.633,30.367
156,483,522.107,39.107
157,207,200.526,6.474
158,271,254.933,16.067
159,186,166.025,19.975
160,1326,830.61,495.39
161,157,138.718,18.282
162,356,432.501,76.501
163,217,171.427,45.573
164,218,246.508,28.508
165,122,147.794,25.794
166,97,92.23,4.77
167,579,502.186,76.814
168,417,380.734,36.266
169,86,84.441,1.559
170,382,366.5,15.5
171,371,257.328,113.672
172,2256,2312.01,56.01
173,101,110.115,9.115
174,1366,1410.157,44.157
175,255,219.94,35.06
176,69,62.194,6.806
177,190,138.379,51.621
178,246,205.518,40.482
179,477,486.025,9.025
180,153,138.627,14.373
181,242,126.582,115.418
